pdf_path,district,subdistrict,station,eligible_voters,ballots_issued,valid_ballots,spoiled_ballots,no_vote_ballots,total_votes
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 1/ส.ส.5ทับ18 1.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 1,423.0,,390.0,18.0,,390.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 10/ส.ส.5ทับ18 10.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 10,1.0,,281.0,8.0,,
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 11/ส.ส.5ทับ18  11.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 11,207.0,,193.0,3.0,,207.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 13/ส.ส.5ทับ18  13.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 13,280.0,,196.0,5.0,,176.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 14/ส.ส.5ทับ18  14.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 14,256.0,,237.0,5.0,,237.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 15/ส.ส.5ทับ18  15.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 15,360.0,,197.0,4.0,,197.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 2/ส.ส.5ทับ18 2.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 2,364.0,,364.0,8.0,,364.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 4/ส.ส.5ทับ18 4.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 4,323.0,,299.0,12.0,,299.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 8/ส.ส.5ทับ18 8.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 8,171.0,,83.0,4.0,,83.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 9/ส.ส.5ทับ18 9.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 9,236.0,,217.0,16.0,,236.0
